,Unnamed: 0,county,risk,statename,stateAbbrev
0,0,DallasCounty,78.2444816468047,Alabama,AL
1,1,LauderdaleCounty,76.7353312037644,Alabama,AL
2,3,RussellCounty,73.2341620410738,Alabama,AL
3,4,EtowahCounty,72.0361866271737,Alabama,AL
4,6,JeffersonCounty,70.6255934331192,Alabama,AL
5,12,MadisonCounty,68.42782855159629,Alabama,AL
6,14,SumterCounty,68.3679596613895,Alabama,AL
7,17,TuscaloosaCounty,67.7764312086389,Alabama,AL
8,18,MaconCounty,67.6022014921123,Alabama,AL
9,22,CalhounCounty,66.7233405853094,Alabama,AL
10,23,CoffeeCounty,66.5309270577016,Alabama,AL
11,31,WalkerCounty,65.8374219776164,Alabama,AL
12,36,HaleCounty,65.5382288057309,Alabama,AL
13,43,MontgomeryCounty,64.6690898021022,Alabama,AL
14,44,ChambersCounty,64.64060232101889,Alabama,AL
15,45,MobileCounty,64.62402948439771,Alabama,AL
16,47,PerryCounty,64.4726645781866,Alabama,AL
17,54,WilcoxCounty,64.0902688901155,Alabama,AL
18,60,MarengoCounty,63.808726117540104,Alabama,AL
19,65,ButlerCounty,63.4113900997322,Alabama,AL
20,71,GreeneCounty,63.0762985122526,Alabama,AL
21,78,ClayCounty,62.6594027917319,Alabama,AL
22,79,TallapoosaCounty,62.6049275109176,Alabama,AL
23,80,HenryCounty,62.587510072523,Alabama,AL
24,81,DaleCounty,62.5705936702014,Alabama,AL
25,93,ElmoreCounty,62.1334357334098,Alabama,AL
26,95,HoustonCounty,62.0070062258426,Alabama,AL
27,97,BarbourCounty,61.9533756495102,Alabama,AL
28,101,ColbertCounty,61.91423568972861,Alabama,AL
29,106,LamarCounty,61.7079842041296,Alabama,AL
30,107,GenevaCounty,61.6433900245936,Alabama,AL
31,116,MorganCounty,61.332890490280505,Alabama,AL
32,118,MonroeCounty,61.2533529046204,Alabama,AL
33,119,ChiltonCounty,61.185505081855496,Alabama,AL
34,121,LowndesCounty,61.147824691687795,Alabama,AL
35,130,ChoctawCounty,60.70540429360029,Alabama,AL
36,141,ShelbyCounty,60.2574578622734,Alabama,AL
37,147,EscambiaCounty,60.0101720848634,Alabama,AL
38,164,LawrenceCounty,59.357481611140614,Alabama,AL
39,168,MarshallCounty,59.2449649893808,Alabama,AL
40,171,TalladegaCounty,59.122399467189595,Alabama,AL
41,175,RandolphCounty,58.9577505218231,Alabama,AL
42,183,PickensCounty,58.721953250940714,Alabama,AL
43,184,CovingtonCounty,58.7095497531651,Alabama,AL
44,186,ConecuhCounty,58.5911955417079,Alabama,AL
45,187,DeKalbCounty,58.5670232943476,Alabama,AL
